dummy,LINK_HASH,DESTINATION_URL
,4993,https://blog.verisign.com/security/verisign-expands-manrs-relationship-to-strengthen-global-routing-security/
,2Om24lp,https://blog.verisign.com/domain-names/dns-an-essential-component-of-cloud-computing/
,2C9lGXC,https://blog.verisign.com/domain-names/dns-an-essential-component-of-cloud-computing/
,3gb8GiX,https://www.verisign.com/en_US/company-information/verisign-careers/index.xhtml
,2PtcJLS,https://blog.verisign.com/security/recognizing-lessons-learned-from-the-first-dnssec-key-rollover-a-year-later/
,33wtaiO,https://blog.verisign.com/security/recognizing-lessons-learned-from-the-first-dnssec-key-rollover-a-year-later/
,2EVKeo7,https://blog.verisign.com/security/recognizing-lessons-learned-from-the-first-dnssec-key-rollover-a-year-later/
,3iTobgs,https://www.verisign.com/en_US/company-information/verisign-careers/index.xhtml
,34DqDDZ,https://blog.verisign.com/domain-names/verisign-q2-2020-domain-name-industry-brief-internet-grows-to-370-1-million-domain-name-registrations-in-the-second-quarter-of-2020/
,2Qu0wa2,https://blog.verisign.com/domain-names/verisign-q2-2020-domain-name-industry-brief-internet-grows-to-370-1-million-domain-name-registrations-in-the-second-quarter-of-2020/
,2EABfIW,https://blog.verisign.com/domain-names/verisign-q2-2020-domain-name-industry-brief-internet-grows-to-370-1-million-domain-name-registrations-in-the-second-quarter-of-2020/
,350pKWf,https://www.verisign.com/en_US/domain-names/com-domain-names/index.xhtml
,3bsoTi7,https://www.verisign.com/en_US/domain-names/com-domain-names/index.xhtml
,3jBT2hQ,https://www.verisign.com/en_US/domain-names/com-domain-names/index.xhtml